Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference;erro
Honoré Julien Jean-Baptiste Chouinard, M.P.;1850-06-18;Québec, Quebec, Canada;1928-11-27;railway company vice-president;1153 days [3 year(s), 1 month(s), 27 day(s)];(1888-01-07 - 1891-03-04);1153 days [3 year(s), 1 month(s), 27 day(s)];;;;;;
Olivia Chow, M.P.;1957-03-24;Hong Kong, China;;municipal councillor, teacher, mayor;2972 days [8 year(s), 1 month(s), 20 day(s)];(2006-01-23 - 2014-03-13);2972 days [8 year(s), 1 month(s), 20 day(s)];;;;;;
Gordon Campbell Chown, M.P.;1922-08-15;Winnipeg, Manitoba, Canada;2002-07-31;barrister, lawyer;2128 days [5 year(s), 9 month(s), 28 day(s)];(1957-06-10 - 1963-04-07);2128 days [5 year(s), 9 month(s), 28 day(s)];;;;;;
Jean-Guy Chrétien, M.P.;1946-01-23;Coleraine, Quebec, Canada;;professor, farmer;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;;;
The Right Hon. Joseph Jacques Jean Chrétien, P.C., K.C., M.P.;1934-01-11;Shawinigan, Quebec, Canada;;lawyer;13113 days [35 year(s), 10 month(s), 25 day(s)];(1963-04-08 - 1968-06-24)|(1968-06-25 - 1986-02-27)|(1990-12-10 - 1993-10-24)|(1993-10-25 - 2003-12-12);13113 days [35 year(s), 10 month(s), 25 day(s)];;;;;;
The Hon. Ione Jean Christensen, Senator;1933-10-10;Dawson Creek, British Columbia, Canada;2025-09-15;judge, public servant;2678 days [7 year(s), 3 month(s), 30 day(s)];;;;(1999-09-02 - 2006-12-31);2678 days [7 year(s), 3 month(s), 30 day(s)];First woman to be appointed as Commissioner of Yukon in 1979.;;
Frank Claus Christian, M.P.;1911-04-28;Vancouver, British Columbia, Canada;1988-07-26;lawyer;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;;;;;
The Hon. David Christie, P.C., Senator;1818-10;Edinburgh, Scotland;1880-12-14 (Died in Office);farmer;4803 days [13 year(s), 1 month(s), 25 day(s)];;;;(1867-10-23 - 1880-12-15);4803 days [13 year(s), 1 month(s), 25 day(s)];;;
Peter Christie, M.P.;1846-10-30;Reach Township, Canada West;1933-12-13;farmer;1453 days [3 year(s), 11 month(s), 22 day(s)];(1904-11-03 - 1908-10-25);1453 days [3 year(s), 11 month(s), 22 day(s)];;;;;;
Thomas Christie, M.P.;1855;Lachute, Quebec, Canada;1934-03-02;pharmacist;701 days [1 year(s), 11 month(s), 1 day(s)];(1902-12-03 - 1904-11-02);701 days [1 year(s), 11 month(s), 1 day(s)];;;;;;
Thomas Christie, M.P.;1824-03-08;Glasgow, Scotland;1902-08-05 (Died in Office);professor, physician;5642 days [15 year(s), 5 month(s), 11 day(s)];(1875-12-31 - 1880-01-09)|(1891-03-05 - 1902-08-05);5642 days [15 year(s), 5 month(s), 11 day(s)];;;;;;
The Hon. Daniel Christmas, Senator;;;;aboriginal leader;2248 days [6 year(s), 1 month(s), 27 day(s)];;;;(2016-12-06 - 2023-01-31);2248 days [6 year(s), 1 month(s), 27 day(s)];Senator Christmas is the first Mi’kmaw senator to be appointed to the Senate of Canada;;
David Christopherson, M.P.;1954-10-05;Hamilton, Ontario, Canada;;union officer, director, political assistant;5593 days [15 year(s), 3 month(s), 23 day(s)];(2004-06-28 - 2019-10-20);5593 days [15 year(s), 3 month(s), 23 day(s)];;;;;;
The Hon. Charles Edward Church, M.P., Senator;1835-01-03;Tancook Island, Nova Scotia, Canada;1906-01-03 (Died in Office);merchant, teacher;3592 days [9 year(s), 10 month(s), 1 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;(1902-02-08 - 1906-01-03);1426 days [3 year(s), 10 month(s), 26 day(s)];;;
Thomas Langton Church, M.P.;1873-01-30;Toronto, Ontario, Canada;1950-02-07 (Died in Office);barrister;8772 days [24 year(s), 6 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1930-07-27)|(1934-09-24 - 1935-10-13)|(1935-10-14 - 1950-02-07);8772 days [24 year(s), 6 day(s)];;;;;;
The Hon. Ezra Churchill, Senator;1804-05-18;Yarmouth, Nova Scotia, Canada;1874-05-08 (Died in Office);shipbuilder, merchant;1191 days [3 year(s), 3 month(s), 4 day(s)];;;;(1871-02-03 - 1874-05-08);1191 days [3 year(s), 3 month(s), 4 day(s)];;;
The Hon. Gordon Minto Churchill, P.C., D.S.O., M.P.;1898-11-08;Cold Water, Ontario, Canada;1985-08-03;barrister, school principal, teacher;6210 days [17 year(s), 1 day(s)];(1951-06-25 - 1968-06-24);6210 days [17 year(s), 1 day(s)];;;;;;
The Hon. Marie Honorius Ernest Cimon, K.C., M.P.;1849-03-30;Murray Bay, Canada East;1917-07-16;lawyer;3071 days [8 year(s), 4 month(s), 27 day(s)];(1874-01-22 - 1882-06-19);3071 days [8 year(s), 4 month(s), 27 day(s)];;;;;;
Simon Cimon, M.P.;1852-12-15;Murray Bay, Canada East;1903-03-22;civil engineer;1254 days [3 year(s), 5 month(s), 6 day(s)];(1887-09-28 - 1891-03-04);1254 days [3 year(s), 5 month(s), 6 day(s)];;;;;;
Simon Xavier Cimon, M.P.;1829-12-04;Murray Bay, Lower Canada;1887-06-26 (Died in Office);manufacturer, contractor, merchant;4140 days [11 year(s), 4 month(s)];(1867-09-20 - 1872-10-11)|(1881-03-19 - 1887-06-26);4140 days [11 year(s), 4 month(s)];;;;;;
Gordon Drummond Clancy, M.P.;1912-05-11;Semans, Saskatchewan, Canada;1996-02-16;pharmacist;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;;;
James Clancy, M.P.;1844-07-21;Mosa Township, Canada West;1921-01-10;lumberman, farmer;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;;;;;
Mary Catherine Clancy, M.P.;1948-01-13;Halifax, Nova Scotia, Canada;;lawyer, consul general, diplomat;3115 days [8 year(s), 6 month(s), 10 day(s)];(1988-11-21 - 1997-06-01);3115 days [8 year(s), 6 month(s), 10 day(s)];;;;;;
The Hon. George Adam Clare, P.C., M.P.;1854-06-06;Preston, Canada West;1915-01-09 (Died in Office);manufacturer, businessman;5177 days [14 year(s), 2 month(s), 3 day(s)];(1900-11-07 - 1915-01-09);5177 days [14 year(s), 2 month(s), 3 day(s)];;;;;;
The Right Hon. Charles Joseph Clark, P.C., M.P.;1939-06-05;High River, Alberta, Canada;;lecturer, journalist;9051 days [24 year(s), 9 month(s), 11 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1993-10-24)|(2000-09-11 - 2000-11-26)|(2000-11-27 - 2004-06-27);9051 days [24 year(s), 9 month(s), 11 day(s)];;;;;;
Hugh Clark, M.P.;1867-05-06;Kincardine Township, Canada West;1959-05-13;editor, teacher;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;;;
John Clark, M.P.;1835;Scotland;1896-07-27 (Died in Office);farmer;35 days [, 1 month(s), 5 day(s)];(1896-06-23 - 1896-07-27);35 days [, 1 month(s), 5 day(s)];;;;;;
BGen John Arthur Clark, Q.C., C.M.G., D.S.O., M.P.;1886-06-08;Dundas, Ontario, Canada;1976-01-18;barrister and solicitor;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1925-10-28)|(1925-10-29 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;;;;;
Michael Clark, M.P.;1861;Belford, Northumberland, England;1926-07-29;farmer, physician, rancher;4789 days [13 year(s), 1 month(s), 11 day(s)];(1908-10-26 - 1921-12-05);4789 days [13 year(s), 1 month(s), 11 day(s)];;;;;;
Stuart Murray Clark, M.P.;1899-05-22;Harrow, Ontario, Canada;1973-06-12;manager;7910 days [21 year(s), 7 month(s), 27 day(s)];(1935-10-14 - 1957-06-09);7910 days [21 year(s), 7 month(s), 27 day(s)];;;;;;
Walter Leland Rutherford (Lee) Clark, M.P.;1936-12-16;Davidson, Saskatchewan, Canada;2008-08-10;professor;3807 days [10 year(s), 5 month(s), 3 day(s)];(1983-05-24 - 1993-10-24);3807 days [10 year(s), 5 month(s), 3 day(s)];;;;;;
The Hon. William George Clark, M.P.;1865-10-01;Queensbury, New Brunswick, Canada;1948-01-18;merchant;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;;;
Alfred Henry Clarke, K.C., M.P.;1860-10-25;Manilla, Canada West;1942-01-30;lawyer;4792 days [13 year(s), 1 month(s), 14 day(s)];(1904-11-03 - 1917-12-16);4792 days [13 year(s), 1 month(s), 14 day(s)];;;;;;
Alupa Clarke, M.P.;1986-04-04;Québec, Quebec, Canada;;reserve, armed forces personnel;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
Edward Frederick Clarke, M.P.;1850-04-24;Bailieboro, County Cavan, Ireland;1905-03-03 (Died in Office);editor, journalist;3175 days [8 year(s), 8 month(s), 10 day(s)];(1896-06-23 - 1904-11-02)|(1904-11-03 - 1905-03-03);3175 days [8 year(s), 8 month(s), 10 day(s)];;;;;;
Harry Gladstone Clarke, M.P.;1881-06-01;Toronto, Ontario, Canada;1956-04-08;gentleman, insurance agent;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;;;
Rob Clarke, M.P.;1967-03-02;Kitimat, British Columbia, Canada;;RCMP sergeant;2772 days [7 year(s), 7 month(s), 2 day(s)];(2008-03-17 - 2015-10-18);2772 days [7 year(s), 7 month(s), 2 day(s)];;;;Member of the Muskeg Lake First Nation.;;
William Aurelius Clarke, M.P.;1868-11-18;Arthur, Ontario, Canada;1940-02-05;merchant;3729 days [10 year(s), 2 month(s), 16 day(s)];(1911-09-21 - 1921-12-05);3729 days [10 year(s), 2 month(s), 16 day(s)];;;;;;
William Hillary (Bill) Clarke, M.P.;1933-07-05;Toronto, Ontario, Canada;;chartered accountant, businessman;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;;;
Roger Clavet, M.P.;1953-02-08;Québec, Quebec, Canada;;journalist;574 days [1 year(s), 6 month(s), 26 day(s)];(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;;;;
The Hon. Brooke Claxton, P.C., M.P.;1898-08-23;Montreal, Quebec, Canada;1960-06-13;professor (associate) - commercial law, lawyer;5241 days [14 year(s), 4 month(s), 6 day(s)];(1940-03-26 - 1949-06-26)|(1949-06-27 - 1953-08-09)|(1953-08-10 - 1954-07-31);5241 days [14 year(s), 4 month(s), 6 day(s)];;;;;;
George Clayes, M.P.;1831;New Hampshire, United States;1888-03-03 (Died in Office);farmer, merchant;376 days [1 year(s), 11 day(s)];(1887-02-22 - 1888-03-03);376 days [1 year(s), 11 day(s)];;;;;;
Bernard Cleary, M.P.;1937-05-08;Mashteuiatsh, Quebec, Canada;2020-07-27;professor, journalist, chief negociator, businessman;574 days [1 year(s), 6 month(s), 26 day(s)];(2004-06-28 - 2006-01-22);574 days [1 year(s), 6 month(s), 26 day(s)];;;;First aboriginal from Quebec elected to the House of Commons.Member of the Mashteuiatsh Innu community.;;
Ryan Cleary, M.P.;1966-11-20;Gander, Newfoundland and Labrador, Canada;;journalist, writer;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Hughes Cleaver, M.P.;1892-09-12;Burlington, Ontario, Canada;1980-10-31;lawyer;6510 days [17 year(s), 9 month(s), 27 day(s)];(1935-10-14 - 1953-08-09);6510 days [17 year(s), 9 month(s), 27 day(s)];;;;;;
The Hon. Bernadette Clement, Senator;;;;lawyer, mayor, city councillor;1772 days [4 year(s), 10 month(s), 7 day(s)];;;;(2021-06-22 - );1772 days [4 year(s), 10 month(s), 7 day(s)];First Black woman to serve as a mayor in Ontario.;French, English;
The Hon. Tony Clement, P.C., M.P.;1961-01-27;Manchester, England;;lawyer, counsel, businessman;5019 days [13 year(s), 8 month(s), 28 day(s)];(2006-01-23 - 2019-10-20);5019 days [13 year(s), 8 month(s), 28 day(s)];;;;Stepson of John Clement, Ontario cabinet minister (1972-75).;;
Herbert Sylvester Clements, M.P.;1865-11-08;Dover Township, Canada West;1939-11-30;farmer, real estate agent, broker;5182 days [14 year(s), 2 month(s), 8 day(s)];(1904-11-03 - 1908-10-25)|(1911-09-21 - 1917-12-16)|(1917-12-17 - 1921-12-05);5182 days [14 year(s), 2 month(s), 8 day(s)];;;;;;
The Hon. Francis Clemow, Senator;1821-05-04;Trois-Rivières, Lower Canada;1902-05-28 (Died in Office);merchant;6323 days [17 year(s), 3 month(s), 23 day(s)];;;;(1885-02-03 - 1902-05-28);6323 days [17 year(s), 3 month(s), 23 day(s)];;;
Gaston Clermont, M.P.;1913-12-05;L'Abord-à-Plouffe, Quebec, Canada;2005-01-12;manager, executive, businessman;5832 days [15 year(s), 11 month(s), 18 day(s)];(1960-10-31 - 1963-04-07)|(1965-11-08 - 1968-06-24)|(1968-06-25 - 1979-05-21);5832 days [15 year(s), 11 month(s), 18 day(s)];;;;;;
Clarence Chester Cleveland, M.P.;1849-09-14;Danville, Canada East;1907-01-06;manufacturer, farmer;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;;;;;
Lawson Omar Clifford, M.P.;1878-06-22;Oshawa, Ontario, Canada;1937-12-07;farmer, fruit grower, rancher;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;;
Terrence (Terry) Clifford, C.M., M.P.;1938-11-12;Acton, Ontario, Canada;;educator, school principal;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;;
J. Roger Clinch, M.P.;1947-01-08;Bathurst, New Brunswick, Canada;;school administrator, school principal;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
The Hon. Henry Joseph Cloran, K.C., Senator;1855-05-08;Montreal, Quebec, Canada;1928-02-08 (Died in Office);professor, editor, lawyer;8990 days [24 year(s), 7 month(s), 11 day(s)];;;;(1903-06-30 - 1928-02-08);8990 days [24 year(s), 7 month(s), 11 day(s)];;;
Hector Daniel (Hec) Clouthier, M.P.;1949-10-18;Pembroke, Ontario, Canada;;consultant, businessman;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;;;
Armand Cloutier, M.P.;1901-12-30;Manchester, New Hampshire, United States;1982-02-14;paymaster, accountant;6285 days [17 year(s), 2 month(s), 15 day(s)];(1940-03-26 - 1957-06-09);6285 days [17 year(s), 2 month(s), 15 day(s)];;;;;;
Sidney LeRoi Clunis, , M.P.;1911-04-22;Blenheim, Ontario, Canada;1975-11-07;lawyer;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;;;
William Cluxton, M.P.;1819-03-31;Dundalk, County Louth, Ireland;1901-02-16;businessman;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;;;
Siobhan Coady, M.P.;1960-11-11;Grand Falls-Windsor, Newfoundland and Labrador, Canada;;business executive, businesswoman;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;;;
The Hon. Robert Carman Coates, P.C., Q.C., M.P.;1928-03-10;Amherst, Nova Scotia, Canada;2016-01-11;barrister, author, lawyer;11487 days [31 year(s), 5 month(s), 12 day(s)];(1957-06-10 - 1968-06-24)|(1968-06-25 - 1979-05-21)|(1979-05-22 - 1988-11-20);11487 days [31 year(s), 5 month(s), 12 day(s)];;;;;;
Emerson Coatsworth, K.C., M.P.;1854-03-09;Toronto, Ontario, Canada;1943-05-11;lawyer;1937 days [5 year(s), 3 month(s), 20 day(s)];(1891-03-05 - 1896-06-22);1937 days [5 year(s), 3 month(s), 20 day(s)];;;;;;
Gerald Richard Cobbe, M.P.;1927-03-22;Kenton, Manitoba, Canada;2004-09-27;mechanical operator, mechanical contractor;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;;;
Dennis H. Cochrane, M.P.;1950-10-26;Moncton, New Brunswick, Canada;;school principal, teacher;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
Edward Cochrane, M.P.;1834-01-01;Cramahe Township, Upper Canada;1907-03-08 (Died in Office);farmer;8685 days [23 year(s), 9 month(s), 10 day(s)];(1882-06-20 - 1887-02-21)|(1887-12-22 - 1888-10-12)|(1888-11-21 - 1907-03-08);8685 days [23 year(s), 9 month(s), 10 day(s)];;;;;;
The Hon. Ethel M. Cochrane, Senator;1937-09-23;Lourdes, Newfoundland;;professor - community college, reading specialist, school principal, teacher;9443 days [25 year(s), 10 month(s), 8 day(s)];;;;(1986-11-17 - 2012-09-23);9443 days [25 year(s), 10 month(s), 8 day(s)];;;
The Hon. Francis Cochrane, P.C., M.P.;1852-11-18;Clarenceville, Canada East;1919-09-22 (Died in Office);merchant;2876 days [7 year(s), 10 month(s), 15 day(s)];(1911-11-08 - 1917-12-16)|(1917-12-17 - 1919-09-22);2876 days [7 year(s), 10 month(s), 15 day(s)];;;;;;
Kenneth Judson Cochrane, M.P.;1896-08-04;Fox River, Nova Scotia, Canada;1982-01-25;lumberman, shipbuilder, contractor;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;;;
The Hon. Matthew Henry Cochrane, Senator;1823-11-11;Compton, Lower Canada;1903-08-12 (Died in Office);manufacturer, rancher;11256 days [30 year(s), 9 month(s), 25 day(s)];;;;(1872-10-17 - 1903-08-12);11256 days [30 year(s), 9 month(s), 25 day(s)];;;
Alexander Peter Cockburn, M.P.;1837-04-07;Finch, Upper Canada;1905-06-02;lumberman, merchant, author;5246 days [14 year(s), 4 month(s), 11 day(s)];(1872-10-12 - 1882-06-19)|(1882-06-20 - 1887-02-21);5246 days [14 year(s), 4 month(s), 11 day(s)];;;;;;
George Ralph Richardson Cockburn, M.P.;1834-02-14;Edinburgh, Scotland;1912-01-18;school principal;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];;;;;;
James Cockburn, Q.C., M.P.;1819-02-13;Berwick-on-Tweed, England;1883-08-14;lawyer;3471 days [9 year(s), 6 month(s), 1 day(s)];(1867-09-20 - 1874-01-21)|(1878-09-17 - 1881-11-14);3471 days [9 year(s), 6 month(s), 1 day(s)];;;;Father of Confederation, attended the Quebec (Oct. 1864) conference.;;
Alan Cockeram, D.S.O., E.D., M.P.;1894-12-06;Topsham, Devonshire, England;1957-09-11;mining entrepreneur, secretary;2088 days [5 year(s), 8 month(s), 19 day(s)];(1940-03-26 - 1941-11-26)|(1945-06-11 - 1949-06-26);2088 days [5 year(s), 8 month(s), 19 day(s)];;;;;;
William Foster Cockshutt, M.P.;1855-10-17;Brantford, Canada West;1939-11-22;manufacturer, businessman;5182 days [14 year(s), 2 month(s), 8 day(s)];(1904-11-03 - 1908-10-25)|(1911-09-21 - 1921-12-05);5182 days [14 year(s), 2 month(s), 8 day(s)];;;;;;
Desmond Morton Code, M.P.;1912-11-16;Smiths Falls, Ontario, Canada;1980-01-19;contractor, construction superintendent;2548 days [6 year(s), 11 month(s), 22 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1972-10-29);2548 days [6 year(s), 11 month(s), 22 day(s)];;;;;;
The Hon. Denis Coderre, P.C., M.P.;1963-07-25;Joliette, Quebec, Canada;;radio announcer, public relations officer, life insurance broker;5845 days [16 year(s), 1 day(s)];(1997-06-02 - 2013-06-02);5845 days [16 year(s), 1 day(s)];;;;Awarded the title of Commander of the Ordre de la Pléiade in 2005.;;
The Hon. Louis Coderre, P.C., K.C., M.P.;1865-11-01;Saint-Ours, Canada East;1935-03-29;lawyer;1465 days [4 year(s), 4 day(s)];(1911-09-21 - 1912-10-28)|(1912-11-19 - 1915-10-15);1465 days [4 year(s), 4 day(s)];;;;;;
The Hon. Thomas Coffey, Senator;1843-08-12;Castleconnell, County Limerick, Ireland;1914-06-08 (Died in Office);printer, publisher;4107 days [11 year(s), 2 month(s), 28 day(s)];;;;(1903-03-12 - 1914-06-08);4107 days [11 year(s), 2 month(s), 28 day(s)];;;
The Hon. Thomas Coffin, P.C., M.P.;1817;Barrington, Nova Scotia, Canada;1890-07-13;shipbuilder, merchant, shipowner;4015 days [10 year(s), 11 month(s), 28 day(s)];(1867-09-20 - 1878-09-16);4015 days [10 year(s), 11 month(s), 28 day(s)];;;;;;
The Hon. Michel Benoit Cogger, K.C., Senator;1939-03-21;Québec, Quebec, Canada;2025-01-27;lawyer;5237 days [14 year(s), 4 month(s), 2 day(s)];;;;(1986-05-02 - 2000-09-01);5237 days [14 year(s), 4 month(s), 2 day(s)];;;
Elizabeth Shaughnessy Cohen, M.P.;1948-02-11;London, Ontario, Canada;1998-12-09 (Died in Office);barrister and solicitor, lawyer;1872 days [5 year(s), 1 month(s), 16 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 1998-12-09);1872 days [5 year(s), 1 month(s), 16 day(s)];;;;;;
The Hon. Erminie Joy Cohen, Senator;1926-07-23;Saint John, New Brunswick, Canada;2019-02-15;businesswoman;2972 days [8 year(s), 1 month(s), 20 day(s)];;;;(1993-06-04 - 2001-07-23);2972 days [8 year(s), 1 month(s), 20 day(s)];;;
The Hon. Charles Carroll Colby, P.C., M.P.;1827-12-10;Derby, Vermont, United States;1907-01-10;author, lawyer;8547 days [23 year(s), 4 month(s), 24 day(s)];(1867-09-20 - 1889-11-27)|(1889-12-18 - 1891-03-04);8547 days [23 year(s), 4 month(s), 24 day(s)];;;;;;
The Hon. Major James William Coldwell, P.C., M.P.;1888-12-02;Seaton, Devon, England;1974-08-25;gentleman, author, principal, teacher;8204 days [22 year(s), 5 month(s), 17 day(s)];(1935-10-14 - 1958-03-30);8204 days [22 year(s), 5 month(s), 17 day(s)];;;;;;
John Cole, M.P.;1942-08-04;Toronto, Ontario, Canada;;optometrist;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
The Hon. David Michael Collenette, P.C., M.P.;1946-06-24;London, England;;management consultant, administrator, businessman;7338 days [20 year(s), 1 month(s), 3 day(s)];(1974-07-08 - 1979-05-21)|(1980-02-18 - 1984-09-03)|(1993-10-25 - 2004-06-27);7338 days [20 year(s), 1 month(s), 3 day(s)];;;;;;
A.B. (Bernie) Collins, M.P.;1935-06-18;Regina, Saskatchewan, Canada;2018-03-26;educator, administrator;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;;;
Laurel Collins, M.P.;;Kispiox, British Columbia, Canada;;teacher, city councillor, executive director;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;
The Hon. Mary Collins, P.C.,;1940-09-26;Vancouver, British Columbia, Canada;;businesswoman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;;
Charles Wesley Colter, M.P.;1846-02-26;York County, New Brunswick, Canada;1929-07-25;lawyer, publisher, teacher;525 days [1 year(s), 5 month(s), 8 day(s)];(1886-09-08 - 1887-02-21)|(1889-01-30 - 1890-01-22);525 days [1 year(s), 5 month(s), 8 day(s)];;;;;;
Newton Ramsay Colter, M.P.;1844-07-30;Sheffield, New Brunswick, Canada;1917-04-06;physician;1892 days [5 year(s), 2 month(s), 5 day(s)];(1891-03-05 - 1892-02-20)|(1892-04-06 - 1896-06-22);1892 days [5 year(s), 2 month(s), 5 day(s)];;;;;;
Joseph (Joe) John Comartin, M.P.;1947-12-26;Stoney Point, Ontario, Canada;;lawyer, managing director, diplomat;5439 days [14 year(s), 10 month(s), 22 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2015-10-18);5439 days [14 year(s), 10 month(s), 22 day(s)];;;;;;
The Hon. Ambroise-Hilaire Comeau, Senator;1860-09-27;Meteghan River, Nova Scotia, Canada;1911-08-25 (Died in Office);merchant;1684 days [4 year(s), 7 month(s), 10 day(s)];;;;(1907-01-15 - 1911-08-25);1684 days [4 year(s), 7 month(s), 10 day(s)];;;
The Hon. Gerald J. Comeau, P.C., M.P., Senator;1946-02-01;Meteghan Station, Nova Scotia, Canada;2023-12-04;educator, accountant;10033 days [27 year(s), 5 month(s), 19 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;(1990-08-30 - 2013-11-30);8494 days [23 year(s), 3 month(s), 2 day(s)];Awarded the title of Knight of the Ordre de la Pléiade in 2002.;;
The Hon. Joseph Willie Comeau, Senator;1876-03-12;Comeauville, Nova Scotia, Canada;1966-01-11;fish merchant, teacher;6250 days [17 year(s), 1 month(s), 11 day(s)];;;;(1948-12-01 - 1966-01-10);6250 days [17 year(s), 1 month(s), 11 day(s)];;;
Louis-Roland Comeau, M.P.;1941-01-07;Meteghan, Nova Scotia, Canada;;professor;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;;;
William Henry Comstock, M.P.;1830-08-01;Batavia, New York, United States;1919-03-09;drugs and medicine manufacturer;566 days [1 year(s), 6 month(s), 18 day(s)];(1899-04-20 - 1900-11-06);566 days [1 year(s), 6 month(s), 18 day(s)];;;;;;
Joseph-Roland Comtois, M.P.;1929-03-03;Sainte-Julie, Quebec, Canada;2020-10-31;engineer;6665 days [18 year(s), 2 month(s), 30 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1976-10-25)|(1977-05-24 - 1984-09-03);6665 days [18 year(s), 2 month(s), 30 day(s)];;;;;;
The Hon. Paul Comtois, P.C., M.P.;1895-08-22;Pierreville, Quebec, Canada;1966-02-21;farmer, agrologist;1579 days [4 year(s), 3 month(s), 27 day(s)];(1957-06-10 - 1961-10-05);1579 days [4 year(s), 3 month(s), 27 day(s)];;;;;;
